,TotalTransactions,income,riskscore,subscribed,opened,SCRate,TRate,return-N6M,return-HYG,return-IVV,gen_F,gen_M,ed_Deg or abv,ed_H.Sch/Dip.,ed_Sec. or below
0,1247.0796601289521,25580.11645,4,0,0,0.03,0.0,0.0,-0.044133,-0.05567999999999999,1,0,0,0,1
1,5.921575776782646,59029.702529999995,5,0,0,0.05,0.0,0.0049625,-0.038695499999999994,-0.0803865,1,0,1,0,0
2,7322.0483613931565,124125.4999,5,0,0,0.05,0.0,0.002804,-0.054965999999999994,-0.11574300000000001,0,1,0,1,0
3,436.4407842393906,20472.16172,5,1,1,0.05,0.0,-0.014493,-0.039955000000000004,-0.096236,1,0,0,0,1
4,-1382.3424054721902,47994.400910000004,5,0,0,0.05,0.0,-0.016544,0.031439,0.090737,0,1,1,0,0
5,8.15014118416002e-08,98448.18146,3,0,0,0.03,0.0,-0.016544,0.031439,0.090737,0,1,0,1,0
6,-1008.887570587052,99935.05077999999,4,0,0,0.03,0.0,-0.041937999999999996,0.009385,0.063593,1,0,1,0,0
7,7154.011683959999,147897.3123,2,0,0,0.03,0.0,-0.016544,0.031439,0.090737,1,0,1,0,0
8,100.48477919987829,55437.147020000004,5,0,0,0.043333333333333335,0.0,-0.015860333333333334,0.007640999999999999,0.028412666666666666,0,1,0,0,1
9,12886.751590400001,318862.468,4,1,0,0.0,0.003,-0.014493,-0.039955000000000004,-0.096236,1,0,1,0,0
10,-65.72398821975,145872.9569,3,0,0,0.03,0.0,0.007121,-0.022425,-0.04503,1,0,0,1,0
11,424.18234765579325,62104.490439999994,3,0,0,0.0,0.003,-0.041937999999999996,0.009385,0.063593,0,1,0,1,0
12,2693.0116363219995,94166.3773,1,0,0,0.03,0.0,-0.0072465,-0.042044,-0.075958,0,1,1,0,0
13,1848.075222475909,267482.8992,3,0,0,0.03,0.0,-0.043774,-0.022469,0.0036899999999999997,0,1,0,1,0
14,1900.3459465600001,73492.54532,3,1,0,0.03,0.0,-0.014493,-0.039955000000000004,-0.096236,1,0,0,1,0
15,-507.70107454889995,52120.667610000004,5,0,0,0.05,0.0,0.002804,-0.054965999999999994,-0.11574300000000001,0,1,0,0,1
16,-85910.6318895,865402.7759,1,1,0,0.03,0.0,0.007121,-0.022425,-0.04503,1,0,1,0,0
17,2483.4768009199997,254989.6115,2,0,0,0.03,0.0,-0.016544,0.031439,0.090737,0,1,0,1,0
18,240.97706946112498,28673.053089999998,3,0,0,0.03,0.0,0.007121,-0.022425,-0.04503,0,1,0,1,0
19,1962.20484552901,44689.42808,5,0,0,0.0,0.005,-0.041937999999999996,0.009385,0.063593,0,1,0,1,0
20,-702.5043322713001,128543.83300000001,4,0,0,0.03,0.0,0.002804,-0.054965999999999994,-0.11574300000000001,0,1,0,0,1
21,-147.86124476405038,78440.8607,3,1,0,0.03,0.0,-0.041937999999999996,0.009385,0.063593,1,0,1,0,0
22,262.511402868,16919.34741,2,1,0,0.03,0.0,0.007121,-0.022425,-0.04503,0,1,0,0,1
23,5734.565201737801,264574.0854,4,0,0,0.0,0.003,0.002804,-0.054965999999999994,-0.11574300000000001,0,1,0,1,0
24,-874.4496527250001,28537.797510000004,3,0,0,0.0,0.003,0.007121,-0.022425,-0.04503,0,1,0,1,0
25,-808.2157326186689,129553.9307,3,0,0,0.0,0.003,0.0,-0.044133,-0.05567999999999999,0,1,1,0,0
26,13067.204735360001,737093.0076,2,1,1,0.03,0.0,-0.014493,-0.039955000000000004,-0.096236,1,0,1,0,0
27,-1300.6992415500001,98750.56596,3,1,0,0.03,0.0,0.007121,-0.022425,-0.04503,0,1,1,0,0
28,875.7494444581848,110044.2021,3,1,0,0.03,0.0,-0.024253333333333335,-0.034126333333333335,-0.06292733333333334,0,1,0,1,0
29,1425.9653912112599,61831.10335,5,0,0,0.05,0.0,-0.014493,-0.039955000000000004,-0.096236,1,0,0,0,1
30,6635.917760846093,310216.2353,3,0,0,0.03,0.0,-0.043774,-0.022469,0.0036899999999999997,0,1,0,1,0
31,-1700.2238141430696,117375.7366,5,1,0,0.0,0.005,-0.016544,0.031439,0.090737,1,0,0,1,0
32,901.4985761323453,120674.9799,4,1,0,0.04,0.0,-0.041937999999999996,0.009385,0.063593,0,1,1,0,0
33,-1.5721821000624914e-07,113363.3053,5,0,0,0.04,0.0,-0.014493,-0.039955000000000004,-0.096236,0,1,0,1,0
34,7.842318154871464e-07,161196.88199999998,5,0,0,0.04,0.0,-0.016544,0.031439,0.090737,0,1,0,1,0
35,24303.39019136263,194268.0273,5,1,1,0.0,0.005,0.007121,-0.022425,-0.04503,1,0,1,0,0
36,8128.436338548145,218620.9402,2,0,0,0.03,0.0,-0.043774,-0.022469,0.0036899999999999997,0,1,0,1,0
37,2973.4922113940006,98515.36175,2,1,0,0.0,0.003,0.002804,-0.054965999999999994,-0.11574300000000001,0,1,1,0,0
38,712.4643341694817,29417.595719999998,4,0,0,0.04,0.0,-0.014493,-0.039955000000000004,-0.096236,0,1,0,1,0
39,-4979.60232329,311631.1894,2,0,0,0.03,0.0,-0.016544,0.031439,0.090737,0,1,0,1,0
40,-1.5750015336379874e-07,114188.508,2,0,0,0.03,0.0,0.007121,-0.022425,-0.04503,0,1,1,0,0
41,45507.65476647999,348131.8639,1,0,0,0.0,0.003,-0.041937999999999996,0.009385,0.063593,0,1,1,0,0
42,2.038013917626813e-07,128097.4314,5,0,0,0.04,0.0,0.002804,-0.054965999999999994,-0.11574300000000001,0,1,1,0,0
43,-8193.430917214766,216026.0801,5,1,0,0.05,0.0,-0.041937999999999996,0.009385,0.063593,0,1,1,0,0
